NUMEROS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
TEXTO,identificador,entero,real,cadena,tipo,opSuma,opMul,opRelac,opOr,opAnd,opNot,opIgualdad,;,coma,(,),{,},=,if,while,return,else,$,programa,Definiciones,Definicion,DefVar,ListaVar,DefFunc,Parametros,ListaParam,BloqFunc,DefLocales,DefLocal,Sentencias,Sentencia,Otro,Bloque,ValorRegresa,Argumentos,ListaArgumentos,Termino,LlamadaFunc,SentenciaBloque,Expresion
0,null,null,null,null,d5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r2,1,2,3,4,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,null,null,null,null,d5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r2,null,7,3,4,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,null,null,null,null,r4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,d8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,null,null,null,null,r5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,r3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,null,null,null,null,null,null,null,null,null,null,null,null,r7,d10,d11,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,null,null,null,null,null,null,null,null,null,null,null,null,d12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
